Ward-Code,Ward-Name,Townsend01,Quintiles
18UEHH,Pilton,-0.76,3
18UEHJ,South Molton,-0.71,3
18UEHK,Witheridge,-2.55,2
18UEHL,Yeo Valley,2.44,5
18UGGM,Allington and Loddiswell,-2.75,1
18UGGN,Avon and Harbourne,-1.61,3
18UGGP,Bickleigh and Shaugh,-2.64,1
18UGGQ,Charterlands,-1.36,3
18UGGR,Cornwood and Sparkwell,-1.29,3
18UGGS,Dartington,-0.88,3
18UGGT,Dartmouth and Kingswear,-1.07,3
18UGGU,Dartmouth Townstal,3.08,5
18UGGW,East Dart,-2.47,2
18UGGX,Eastmoor,-1.94,2
18UGGY,Erme Valley,-2.19,2
18UGGZ,Ivybridge Central,-0.46,3
18UGHA,Ivybridge Filham,-2.50,2
18UGHB,Ivybridge Woodlands,-3.91,1
18UGHC,Kingsbridge East,-2.10,2
18UGHD,Kingsbridge North,-0.82,3
18UGHE,Marldon,-2.83,1
18UGHF,Newton and Noss,-1.95,2
18UGHG,Salcombe and Malborough,-2.09,2
18UGHH,Saltstone,-2.19,2
18UGHJ,Skerries,-2.51,2
18UGHK,South Brent,-0.74,3
18UGHL,Stokenham,-2.45,2
18UGHM,Thurlestone,-2.15,2
18UGHN,Totnes Bridgetown,0.70,4
18UGHP,Totnes Town,1.17,4
18UGHQ,Wembury and Brixton,-3.30,1
18UGHR,West Dart,-2.87,1
18UGHS,Westville and Alvington,1.09,4
18UGHT,Yealmpton,-1.40,3
18UHGL,Ambrook,-3.13,1
18UHGM,Ashburton and Buckfastleigh,0.08,4
18UHGN,Bishopsteignton,-3.06,1
18UHGP,Bovey,-1.90,2
18UHGQ,Bradley,-1.61,3
18UHGR,Buckland and Milber,-0.45,3
18UHGS,Bushell,1.00,4
18UHGT,Chudleigh,-1.07,3
18UHGU,College,-0.34,3
18UHGW,Dawlish Central and North East,-0.82,3
18UHGX,Dawlish South West,-0.51,3
18UHGY,Haytor,-3.19,1
18UHGZ,Ipplepen,-3.07,1
18UHHA,Kenn Valley,-2.77,1
18UHHB,Kenton with Starcross,-1.55,3
18UHHC,Kerswell-with-Combe,-2.73,1
18UHHD,Kingsteignton East,-2.26,2
18UHHE,Kingsteignton West,-1.67,2
18UHHF,Moorland,-1.85,2
